Attribute,p_value
FLAG_DOCUMENT_20,0.906288254
FLAG_DOCUMENT_5,0.860462201
FLAG_CONT_MOBILE,0.835231764
AMT_REQ_CREDIT_BUREAU_WEEK,0.683560163
NONLIVINGAPARTMENTS_MODE,0.635590876
AMT_REQ_CREDIT_BUREAU_HOUR,0.635308167
AMT_INCOME_TOTAL,0.464990427
FLAG_DOCUMENT_19,0.408322289
NONLIVINGAPARTMENTS_MEDI,0.391234442
FLAG_EMAIL,0.324455054
NONLIVINGAPARTMENTS_AVG,0.319688374
FLAG_MOBIL,0.317311364
FLAG_DOCUMENT_7,0.300539414
SK_ID_CURR,0.240620971
AMT_REQ_CREDIT_BUREAU_QRT,0.208029062
FLAG_DOCUMENT_12,0.157299574
AMT_REQ_CREDIT_BUREAU_DAY,0.148928863
LIVE_REGION_NOT_WORK_REGION,0.125310731
FLAG_DOCUMENT_2,0.111584135
FLAG_DOCUMENT_21,0.106512872
FLAG_DOCUMENT_11,0.008446875
FLAG_DOCUMENT_10,0.008150746
FLAG_DOCUMENT_9,0.00650001
REG_REGION_NOT_LIVE_REGION,0.00372162
FLAG_DOCUMENT_17,0.001893191
YEARS_BEGINEXPLUATATION_MODE,0.001559643
YEARS_BEGINEXPLUATATION_AVG,0.000839881
YEARS_BEGINEXPLUATATION_MEDI,0.000621357
LANDAREA_MODE,0.000289493
REG_REGION_NOT_WORK_REGION,0.000222649
LANDAREA_AVG,0.000114343
LANDAREA_MEDI,5.69E-05
FLAG_DOCUMENT_8,3.51E-06
CNT_FAM_MEMBERS,7.12E-07
FLAG_DOCUMENT_4,5.73E-07
OBS_60_CNT_SOCIAL_CIRCLE,4.66E-07
OBS_30_CNT_SOCIAL_CIRCLE,3.44E-07
FLAG_DOCUMENT_18,2.52E-07
NONLIVINGAREA_MODE,2.05E-07
NONLIVINGAREA_MEDI,4.99E-08
COMMONAREA_MODE,3.24E-08
NONLIVINGAREA_AVG,2.62E-08
FLAG_DOCUMENT_15,2.45E-08
COMMONAREA_AVG,2.07E-10
COMMONAREA_MEDI,1.97E-10
ENTRANCES_MODE,4.78E-12
YEARS_BUILD_MODE,1.06E-12
YEARS_BUILD_AVG,8.67E-13
YEARS_BUILD_MEDI,5.73E-13
ENTRANCES_MEDI,4.06E-14
LIVINGAPARTMENTS_MODE,2.64E-14
ENTRANCES_AVG,2.59E-14
FLAG_DOCUMENT_14,1.34E-14
AMT_REQ_CREDIT_BUREAU_MON,1.05E-14
BASEMENTAREA_MODE,5.83E-15
FLAG_DOCUMENT_16,1.10E-15
LIVINGAPARTMENTS_MEDI,8.76E-16
AMT_ANNUITY,3.86E-16
LIVINGAPARTMENTS_AVG,2.26E-16
BASEMENTAREA_MEDI,6.28E-18
BASEMENTAREA_AVG,4.58E-19
AMT_REQ_CREDIT_BUREAU_YEAR,2.48E-23
FLAG_DOCUMENT_13,3.92E-24
CNT_CHILDREN,2.38E-24
FLOORSMIN_MODE,2.33E-28
APARTMENTS_MODE,2.87E-29
FLOORSMIN_MEDI,1.37E-29
FLOORSMIN_AVG,7.56E-30
OWN_CAR_AGE,3.33E-31
APARTMENTS_MEDI,1.07E-33
APARTMENTS_AVG,3.01E-34
LIVINGAREA_MODE,1.35E-38
HOUR_APPR_PROCESS_START,1.97E-40
ELEVATORS_MODE,1.49E-41
FLAG_PHONE,7.56E-43
LIVINGAREA_MEDI,3.52E-44
TOTALAREA_MODE,1.06E-44
LIVINGAREA_AVG,9.90E-45
ELEVATORS_MEDI,2.35E-46
ELEVATORS_AVG,3.35E-47
DEF_60_CNT_SOCIAL_CIRCLE,9.99E-50
FLAG_WORK_PHONE,3.65E-50
DEF_30_CNT_SOCIAL_CIRCLE,9.94E-55
LIVE_CITY_NOT_WORK_CITY,7.94E-63
FLOORSMAX_MODE,6.54E-73
FLOORSMAX_MEDI,8.79E-75
FLOORSMAX_AVG,1.87E-75
FLAG_DOCUMENT_6,5.81E-76
AMT_CREDIT,2.72E-82
REG_CITY_NOT_LIVE_CITY,7.74E-95
REGION_POPULATION_RELATIVE,2.45E-122
DAYS_REGISTRATION,2.17E-133
AMT_GOODS_PRICE,4.28E-143
REG_CITY_NOT_WORK_CITY,1.94E-148
FLAG_DOCUMENT_3,2.06E-154
DAYS_ID_PUBLISH,3.74E-175
DAYS_EMPLOYED,4.92E-182
FLAG_EMP_PHONE,6.66E-190
REGION_RATING_CLIENT,3.56E-233
DAYS_LAST_PHONE_CHANGE,2.02E-236
REGION_RATING_CLIENT_W_CITY,8.35E-248
DAYS_BIRTH,0
EXT_SOURCE_1,0
EXT_SOURCE_2,0
EXT_SOURCE_3,0
